iter	MultiClass
0	4.871613233
1	4.757474842
2	4.576388642
3	4.5100393
4	4.412248358
5	4.359355068
6	4.317750195
7	4.275650418
8	4.239598249
9	4.195670335
10	4.164512968
11	4.134213677
12	4.066395467
13	4.044197573
14	4.023992151
15	3.999219234
16	3.978320905
17	3.956416467
18	3.934160403
19	3.915599662
20	3.898057291
21	3.877621591
22	3.860367306
23	3.844721704
24	3.827684035
25	3.811720528
26	3.792603999
27	3.778193182
28	3.763030759
29	3.748269512
30	3.73344041
31	3.72065551
32	3.705122083
33	3.691980948
34	3.678741804
35	3.666726345
36	3.653162001
37	3.640354741
38	3.625533536
39	3.613194428
40	3.601296772
41	3.589620301
42	3.576041253
43	3.562259077
44	3.549438983
45	3.537925373
46	3.528730927
47	3.520517532
48	3.509638624
49	3.499925024
50	3.486340397
51	3.476599379
52	3.46764126
53	3.456879453
54	3.446937072
55	3.436347609
56	3.425250675
57	3.415672348
58	3.405178526
59	3.39688005
60	3.388060838
61	3.377026868
62	3.368222045
63	3.35817225
64	3.347426775
65	3.340124035
66	3.33141355
67	3.319738539
68	3.307777491
69	3.299828042
70	3.291329933
71	3.282341452
72	3.271857665
73	3.263704295
74	3.254514212
75	3.244554004
76	3.234185262
77	3.226339733
78	3.214498779
79	3.20425555
80	3.194753035
81	3.186378205
82	3.176408621
83	3.170073759
84	3.162558758
85	3.153281343
86	3.1439361
87	3.132831642
88	3.124504175
89	3.115684486
90	3.109710907
91	3.10208283
92	3.094021895
93	3.08443521
94	3.074503746
95	3.065944091
96	3.053562716
97	3.044979195
98	3.037636392
99	3.028083394
100	3.020825696
101	3.011603815
102	3.000537992
103	2.994456481
104	2.985569939
105	2.976948981
106	2.967568892
107	2.957829318
108	2.949540415
109	2.941518026
110	2.9333835
111	2.925869649
112	2.918134429
113	2.90725564
114	2.897378479
115	2.89020899
116	2.883127066
117	2.874782823
118	2.867829756
119	2.858705881
120	2.849920332
121	2.843440283
122	2.836104293
123	2.827877486
124	2.821150039
125	2.813417643
126	2.809209738
127	2.801366533
128	2.794091434
129	2.783625849
130	2.777219032
131	2.77078852
132	2.765249405
133	2.758342598
134	2.749616712
135	2.743985862
136	2.737781868
137	2.732264031
138	2.725836709
139	2.720147493
140	2.711274156
141	2.703798252
142	2.699087008
143	2.692237907
144	2.684780324
145	2.679267337
146	2.671140319
147	2.663117334
148	2.656184911
149	2.649110984
150	2.642130429
151	2.634841492
152	2.625656529
153	2.618579472
154	2.611962483
155	2.609634502
156	2.600638666
157	2.593345307
158	2.588700373
159	2.584898279
160	2.582703059
161	2.576913333
162	2.569578018
163	2.563824966
164	2.554276934
165	2.547088271
166	2.539587524
167	2.532513534
168	2.524643294
169	2.518131315
170	2.51270113
171	2.507322447
172	2.503076564
173	2.499003344
174	2.492733019
175	2.485856611
176	2.481698395
177	2.474931513
178	2.468393638
179	2.461456229
180	2.456518109
181	2.450316148
182	2.444437486
183	2.439031898
184	2.434087782
185	2.427511124
186	2.421890688
187	2.416191755
188	2.41059538
189	2.404473136
190	2.39768035
191	2.392299132
192	2.38815372
193	2.38264399
194	2.377186978
195	2.370052722
196	2.364747919
197	2.360303272
198	2.354178372
199	2.349081233
200	2.344620092
201	2.33971535
202	2.33245571
203	2.326814326
204	2.322306028
205	2.316299625
206	2.312105591
207	2.305947266
208	2.300468571
209	2.295634224
210	2.288465739
211	2.284825043
212	2.278315326
213	2.273003308
214	2.268400477
215	2.261969249
216	2.258776605
217	2.253791334
218	2.250736776
219	2.245358678
220	2.239889925
221	2.234530506
222	2.230013078
223	2.223942715
224	2.221172215
225	2.21658403
226	2.21185381
227	2.207354655
228	2.200315696
229	2.195718559
230	2.189271285
231	2.182898762
232	2.177619173
233	2.171388994
234	2.164213167
235	2.158248945
236	2.153641551
237	2.14705421
238	2.141054654
239	2.135722579
240	2.131110403
241	2.125454915
242	2.119700027
243	2.111064381
244	2.104720813
245	2.097092888
246	2.093175308
247	2.086817741
248	2.079059123
249	2.076700391
250	2.073298476
251	2.067956891
252	2.061422355
253	2.056420054
254	2.04970158
255	2.047264843
256	2.040566636
257	2.036409805
258	2.03226953
259	2.027562734
260	2.025281345
261	2.021121776
262	2.01505883
263	2.01250045
264	2.007630286
265	2.001998066
266	1.996424962
267	1.991001439
268	1.987216267
269	1.982746118
270	1.978948931
271	1.973259628
272	1.967605658
273	1.963053816
274	1.959124142
275	1.954238963
276	1.950137938
277	1.946941679
278	1.942113655
279	1.938063557
280	1.930830785
281	1.924909747
282	1.919795344
283	1.913218947
284	1.908510937
285	1.902565185
286	1.896237977
287	1.891534974
288	1.886550663
289	1.881989474
290	1.877406816
291	1.870530553
292	1.86698302
293	1.860164833
294	1.855590079
295	1.851642825
