iter	Passed	Remaining
0	289	289408
1	555	276971
2	741	246432
3	968	241255
4	1198	238572
5	1435	237861
6	1664	236139
7	1919	238035
8	2144	236126
9	2350	232709
10	2549	229261
11	2738	225500
12	2949	223908
13	3158	222436
14	3372	221440
15	3577	219987
16	3773	218188
17	3972	216726
18	4197	216723
19	4418	216506
20	4620	215422
21	4834	214897
22	5063	215087
23	5245	213330
24	5458	212885
25	5666	212285
26	5851	210860
27	6048	209973
28	6258	209561
29	6460	208899
30	6665	208358
31	6841	206944
32	7080	207469
33	7273	206647
34	7470	205963
35	7651	204894
36	7847	204243
37	8043	203631
38	8262	203603
39	8486	203675
40	8670	202808
41	8859	202077
42	9071	201886
43	9307	202230
44	9514	201912
45	9703	201238
46	9882	200386
47	10057	199466
48	10248	198911
49	10431	198191
50	10668	198524
51	10861	198011
52	11054	197520
53	11244	196984
54	11436	196505
55	11627	196000
56	11811	195399
57	12002	194940
58	12200	194580
59	12387	194068
60	12571	193517
61	12761	193061
62	12952	192644
63	13168	192586
64	13369	192321
65	13545	191695
66	13738	191312
67	13941	191078
68	14186	191409
69	14377	191015
70	14573	190687
71	14795	190701
72	15005	190543
73	15187	190053
74	15380	189692
75	15605	189732
76	15835	189819
77	16016	189319
78	16231	189231
79	16463	189335
80	16670	189142
81	16867	188828
82	17082	188728
83	17255	188167
84	17455	187901
85	17663	187729
86	17839	187210
87	18049	187055
88	18266	186980
89	18446	186515
90	18628	186077
91	18811	185657
92	19020	185505
93	19256	185603
94	19486	185630
95	19682	185345
96	19934	185576
97	20122	185206
98	20331	185034
99	20546	184914
100	20737	184583
101	20972	184644
102	21205	184672
103	21390	184284
104	21619	184278
105	21849	184276
106	22067	184172
107	22292	184119
108	22520	184090
109	22731	183918
110	22953	183837
111	23155	183588
112	23359	183361
113	23603	183448
114	23826	183358
115	24024	183085
116	24223	182818
117	24453	182776
118	24645	182462
119	24869	182379
120	25079	182192
121	25265	181831
122	25452	181479
123	25636	181107
124	25831	180820
125	26039	180622
126	26218	180224
127	26430	180056
128	26629	179800
129	26865	179794
130	27053	179464
131	27263	179281
132	27446	178919
133	27666	178797
134	27889	178701
135	28096	178496
136	28298	178258
137	28503	178042
138	28703	177798
139	28906	177570
140	29125	177437
141	29346	177320
142	29542	177048
143	29763	176928
144	29971	176728
145	30156	176393
146	30400	176403
147	30618	176263
148	30829	176082
149	31047	175938
150	31247	175691
151	31447	175441
152	31670	175327
153	31865	175053
154	32087	174928
155	32252	174493
156	32502	174517
157	32715	174342
158	32903	174037
159	33077	173658
160	33237	173205
161	33448	173024
162	33669	172892
163	33848	172544
164	34065	172390
165	34283	172243
166	34523	172205
167	34736	172027
168	34975	171980
169	35175	171739
170	35416	171698
171	35628	171514
172	35815	171211
173	35991	170854
174	36186	170594
175	36397	170406
176	36572	170049
177	36794	169915
178	36998	169694
179	37232	169615
180	37439	169409
181	37647	169205
182	37859	169020
183	38069	168831
184	38259	168546
185	38466	168343
186	38671	168127
187	38885	167951
188	39078	167687
189	39295	167521
190	39515	167371
191	39718	167147
192	39915	166900
193	40124	166702
194	40331	166498
195	40555	166361
196	40774	166202
197	40963	165924
198	41169	165710
199	41364	165459
200	41556	165194
201	41764	164992
202	41977	164808
203	42182	164595
204	42371	164317
205	42581	164124
206	42780	163887
207	42994	163711
208	43188	163454
209	43392	163237
210	43614	163089
211	43801	162810
212	44012	162620
213	44213	162392
214	44419	162183
215	44646	162051
216	44827	161752
217	45042	161575
218	45230	161301
219	45453	161153
220	45675	161002
221	45886	160811
222	46088	160585
223	46305	160416
224	46494	160148
225	46703	159950
226	46920	159778
227	47110	159512
228	47340	159386
229	47552	159195
230	47765	159012
231	47988	158858
232	48195	158653
233	48413	158480
234	48645	158357
235	48878	158233
236	49074	157990
237	49308	157871
238	49545	157758
239	49755	157559
240	49953	157323
241	50182	157183
242	50404	157022
243	50663	156974
244	50895	156841
245	51137	156737
246	51354	156558
247	51592	156442
248	51838	156347
249	52028	156086
250	52209	155797
251	52432	155633
252	52665	155499
253	52889	155338
254	53117	155187
255	53291	154877
256	53526	154747
257	53737	154547
258	53923	154274
259	54128	154057
260	54307	153768
261	54523	153580
262	54760	153455
263	54940	153168
264	55159	152988
265	55380	152817
266	55614	152680
267	55840	152519
268	56058	152336
269	56259	152109
270	56464	151892
271	56679	151701
272	56916	151569
273	57124	151358
274	57327	151137
275	57521	150889
276	57721	150658
277	57914	150410
278	58138	150244
279	58342	150024
280	58579	149888
281	58837	149805
282	59059	149632
283	59295	149491
284	59514	149307
285	59750	149167
286	59989	149034
287	60218	148872
288	60428	148666
289	60633	148446
290	60861	148283
291	61096	148137
292	61289	147888
293	61531	147758
294	61748	147568
295	61955	147353
296	62191	147206
297	62400	146996
298	62596	146755
299	62781	146489
300	63005	146314
301	63223	146125
302	63457	145973
303	63694	145826
304	63897	145602
305	64140	145470
306	64332	145220
307	64567	145067
308	64766	144833
309	64987	144649
310	65200	144448
311	65428	144278
312	65620	144028
313	65810	143777
314	65996	143516
315	66227	143352
316	66427	143122
317	66631	142901
318	66875	142765
319	67106	142600
320	67320	142401
321	67525	142180
322	67760	142023
323	67965	141804
324	68177	141600
325	68407	141431
326	68636	141260
327	68850	141059
328	69061	140851
329	69289	140678
330	69511	140493
331	69737	140314
332	69959	140129
333	70158	139897
334	70369	139688
335	70587	139494
336	70807	139304
337	71023	139104
338	71260	138947
339	71480	138756
340	71688	138541
341	71910	138353
342	72110	138124
343	72348	137967
344	72534	137709
345	72747	137505
346	72997	137369
347	73224	137190
348	73458	137023
349	73688	136850
350	73907	136654
351	74105	136420
352	74306	136193
353	74483	135921
354	74699	135722
355	74949	135583
356	75165	135382
357	75394	135204
358	75636	135049
359	75861	134864
360	76064	134639
